congruency,veracity,ano_true_false_unsure,said_yes,prop_yes,ResponseId,Group,Condition
congruent,False,unsure,1,0.5,R_30148g8wZGSHOob,Belief,Optional
congruent,True,false,2,1.0,R_30148g8wZGSHOob,Belief,Optional
congruent,True,true,3,1.0,R_30148g8wZGSHOob,Belief,Optional
congruent,True,unsure,4,0.8,R_30148g8wZGSHOob,Belief,Optional
incongruent,False,false,0,0.0,R_30148g8wZGSHOob,Belief,Optional
incongruent,True,false,1,0.5,R_30148g8wZGSHOob,Belief,Optional
incongruent,True,unsure,3,0.375,R_30148g8wZGSHOob,Belief,Optional
congruent,False,false,0,0.0,R_Ua4hrV3oFmlh2lr,Share,Forced
congruent,True,false,0,0.0,R_Ua4hrV3oFmlh2lr,Share,Forced
congruent,True,unsure,0,0.0,R_Ua4hrV3oFmlh2lr,Share,Forced
incongruent,False,false,0,0.0,R_Ua4hrV3oFmlh2lr,Share,Forced
incongruent,False,unsure,0,0.0,R_Ua4hrV3oFmlh2lr,Share,Forced
incongruent,True,false,0,0.0,R_Ua4hrV3oFmlh2lr,Share,Forced
incongruent,True,true,0,0.0,R_Ua4hrV3oFmlh2lr,Share,Forced
incongruent,True,unsure,0,0.0,R_Ua4hrV3oFmlh2lr,Share,Forced
congruent,False,false,0,0.0,R_1gzhGn3p9AOWJyH,Share,Control
congruent,False,unsure,0,0.0,R_1gzhGn3p9AOWJyH,Share,Control
congruent,True,false,0,0.0,R_1gzhGn3p9AOWJyH,Share,Control
congruent,True,true,1,0.3333333333333333,R_1gzhGn3p9AOWJyH,Share,Control
congruent,True,unsure,0,0.0,R_1gzhGn3p9AOWJyH,Share,Control
incongruent,False,false,0,0.0,R_1gzhGn3p9AOWJyH,Share,Control
incongruent,True,false,0,0.0,R_1gzhGn3p9AOWJyH,Share,Control
incongruent,True,unsure,0,0.0,R_1gzhGn3p9AOWJyH,Share,Control
congruent,False,false,0,0.0,R_3mk6k4lPyoVJN6p,Share,Optional
congruent,False,unsure,0,0.0,R_3mk6k4lPyoVJN6p,Share,Optional
congruent,True,false,0,0.0,R_3mk6k4lPyoVJN6p,Share,Optional
congruent,True,true,1,0.3333333333333333,R_3mk6k4lPyoVJN6p,Share,Optional
congruent,True,unsure,1,0.2,R_3mk6k4lPyoVJN6p,Share,Optional
incongruent,False,false,0,0.0,R_3mk6k4lPyoVJN6p,Share,Optional
incongruent,True,false,0,0.0,R_3mk6k4lPyoVJN6p,Share,Optional
incongruent,True,unsure,1,0.125,R_3mk6k4lPyoVJN6p,Share,Optional
congruent,False,false,0,0.0,R_3OcTHVL5l7YvnFZ,Share,Optional
congruent,True,false,0,0.0,R_3OcTHVL5l7YvnFZ,Share,Optional
congruent,True,unsure,5,0.625,R_3OcTHVL5l7YvnFZ,Share,Optional
incongruent,False,false,0,0.0,R_3OcTHVL5l7YvnFZ,Share,Optional
incongruent,False,unsure,0,0.0,R_3OcTHVL5l7YvnFZ,Share,Optional
incongruent,True,false,0,0.0,R_3OcTHVL5l7YvnFZ,Share,Optional
incongruent,True,true,2,0.6666666666666666,R_3OcTHVL5l7YvnFZ,Share,Optional
incongruent,True,unsure,2,0.4,R_3OcTHVL5l7YvnFZ,Share,Optional
congruent,False,false,2,0.2,R_3R2YS2biP90ngBp,Belief,Control
congruent,True,false,1,0.5,R_3R2YS2biP90ngBp,Belief,Control
congruent,True,unsure,8,1.0,R_3R2YS2biP90ngBp,Belief,Control
incongruent,False,false,0,0.0,R_3R2YS2biP90ngBp,Belief,Control
incongruent,False,unsure,0,0.0,R_3R2YS2biP90ngBp,Belief,Control
incongruent,True,false,1,0.5,R_3R2YS2biP90ngBp,Belief,Control
incongruent,True,true,2,0.6666666666666666,R_3R2YS2biP90ngBp,Belief,Control
incongruent,True,unsure,2,0.4,R_3R2YS2biP90ngBp,Belief,Control
congruent,False,false,8,1.0,R_27xJVvqweQTJiC6,Share,Control
congruent,False,unsure,2,1.0,R_27xJVvqweQTJiC6,Share,Control
congruent,True,false,2,1.0,R_27xJVvqweQTJiC6,Share,Control
congruent,True,true,3,1.0,R_27xJVvqweQTJiC6,Share,Control
congruent,True,unsure,5,1.0,R_27xJVvqweQTJiC6,Share,Control
incongruent,False,false,10,1.0,R_27xJVvqweQTJiC6,Share,Control
incongruent,True,false,2,1.0,R_27xJVvqweQTJiC6,Share,Control
incongruent,True,unsure,8,1.0,R_27xJVvqweQTJiC6,Share,Control
congruent,False,false,0,0.0,R_25F76HqwA67K92C,Belief,Optional
congruent,False,unsure,0,0.0,R_25F76HqwA67K92C,Belief,Optional
